to_pc,price
AT-3264,1350
AT-3500,1400
AT-4030,1320
AT-4310,1300
AT-6719,1000
BE-2030,450
BE-2040,440
BE-2070,460
BE-2110,460
BE-2440,400
BE-3600,410
BE-3700,420
BE-3770,420
BE-4000,310
BE-4101,300
BE-4460,320
BE-4480,300
BE-4890,320
BE-6032,350
BE-8501,550
BE-8600,550
BE-8750,550
BE-8830,550
BE-9032,450
BE-9042,450
BE-9130,450
BE-9700,450
CZ-280 02,970
CZ-294 21,990
CZ-408 01,960
CZ-431 51,900
CZ-500 03,1000
CZ-618 00,1140
CZ-710 00,1300
CZ-750 02,1190
CZ-792 01,1310
ES-28820,1940
ES-31110,1950
ES-36910,1960
ES-39600,1950
ES-46136,2120
ES-46500,2120
ES-46520,2090
ES-8186,1900
ES-8755,1910
ES-8820,1890
ES-9007,1910
ES-9280,1900
ES-9400,1890
FR-2230,570
FR-27150,760
FR-31250,1440
FR-33720,1530
FR-35590,1240
FR-38070,940
FR-38200,910
FR-38530,1020
FR-42153,900
FR-42320,900
FR-44001,1430
FR-49150,1170
FR-49460,1160
FR-51010,660
FR-51100,650
FR-53200,1170
FR-53201,1170
FR-54720,390
FR-55000,390
FR-55600,420
FR-57146,300
FR-57190,290
FR-57191,270
FR-57300,280
FR-57380,340
FR-57970,280
FR-59279,690
FR-59330,690
FR-60490,770
FR-60930,770
FR-68490,730
FR-69320,930
FR-69470,920
FR-69650,930
FR-71600,1020
FR-76121,1070
FR-79260,1330
FR-79300,1300
FR-81090,1430
FR-8140,1410
FR-85600,1490
FR-89400,740
FR-91814,690
FR-93000,680
FR-94380,700
FR-95500,680
FR-95508,700
IT-10024,1170
IT-10040,1220
IT-10042,1190
IT-12030,1220
IT-12035,1220
IT-20010,1210
IT-20012,1200
IT-20024,1200
IT-20037,1220
IT-20043,1200
IT-20048,1180
IT-20050,1220
IT-20080,1200
IT-20090,1200
IT-20865,1210
IT-20885,1220
IT-20900,1190
IT-2100,1210
IT-21052,1210
IT-22060,1200
IT-23844,1210
IT-23861,1220
IT-23893,1220
IT-24046,1200
IT-24055,1210
IT-24062,1210
IT-25040,1210
IT-25125,1200
IT-27040,1230
IT-30020,1270
IT-30029,1270
IT-3010,1250
IT-31020,1250
IT-33010,1250
IT-35010,1260
IT-35013,1250
IT-35030,1240
IT-36027,1260
IT-36051,1240
IT-37023,1250
IT-37060,1240
IT-37136,1260
IT-38068,1260
IT-42011,1200
IT-42100,1230
IT-43012,1190
IT-45037,1320
IT-47521,1300
IT-53035,1460
IT-54100,1460
IT-60028,1640
IT-60030,1660
IT-6029,1650
IT-64010,1640
IT-64013,1670
LT-2300,2800
LT-52106,2790
LT-75101,2810
LT-78107,2780
LU-3430,300
LU-3452,290
LU-5637,300
LU-6601,310
LU-9230,360
LU-9559,470
NL-2991 LE,690
NL-3903 LH,750
NL-4225 SJ,720
NL-4782 SB,630
NL-4903 RJ,650
NL-5145 NJ,650
NL-5555 XP,590
NL-6045 JG,520
PL-05-090,1280
PL-05-806,1290
PL-06-100,1390
PL-09-407,1330
PL-17-100,1600
PL-19-300,1660
PL-20-388,1550
PL-22-400,1530
PL-28-500,1340
PL-30-798,1290
PL-30-969,1300
PL-32-400,1290
PL-32-566,1300
PL-34-600,1300
PL-34-700,1300
PL-36-062,1310
PL-39-322,1280
PL-41-303,1260
PL-41-800,1280
PL-41-909,1270
PL-41-940,1280
PL-42-300,1270
PL-43-346,1280
PL-43-378,1280
PL-44-203,1280
PL-55-040,1270
PL-63-200,1230
PL-83-200,1390
PL-84-239,1380
PL-93-083,1180
PL-96-321,1250
PT-2490-333,3200
PT-2925-461,3200
PT-2950-285,3210
PT-3730-956,3200
PT-3750-066,3210
PT-3840-342,3210
PT-3880-728,3220
PT-3885-100,3200
PT-3886-909,3200
PT-4410-030,3200
PT-4470-573,3200
PT-4475-817,3210
SK-905 01,1400
